animals,firstnames
Stanley crane,Nancy
"Partridge, coqui",Lannie
Chilean flamingo,Thomasa
Radiated tortoise,Elisha
Giant anteater,Benito
"Lion, mountain",Giraldo
Coke's hartebeest,Francis
Burrowing owl,Lisette
Common boubou shrike,Genevieve
"Goldeneye, barrows",Brandie
Blue shark,Frederica
Russian dragonfly,Grantley
Brown antechinus,Leone
Griffon vulture,Carmelle
Levaillant's barbet,Paulina
North American river otter,Audry
Indian mynah,Forrester
"Shelduck, european",Rheta
Brown brocket,Sonia
"Turaco, violet-crested",Rachel
Common raccoon,Norine
"Whale, southern right",Raynell
"Pelican, brown",Luisa
"Crab, red lava",Gabriell
Columbian rainbow boa,Raychel
"Jackal, golden",Veronica
Mouflon,Irene
"Coot, red-knobbed",Kennan
Euro wallaby,Meridith
"Antelope, four-horned",Camel
"Heron, grey",Kyle
Black-backed magpie,Amalle
Meerkat,Jessica
Sportive lemur,Darya
"Hartebeest, coke's",Nicki
"Kingfisher, malachite",Dehlia
"Bison, american",Almeria
"Crane, sarus",Selinda
"Armadillo, nine-banded",Conway
Green heron,Bob
Kinkajou,Isadora
Common shelduck,Christian
"Zorro, common",Gaultiero
"Shelduck, european",Wilbur
Four-horned antelope,Myrvyn
Goliath heron,Ali
"Goose, cereopsis",Mendel
"Oystercatcher, blackish",Annamaria
"Armadillo, common long-nosed",Alwyn
"Cat, miner's",Teddy
Spectacled caiman,Tanny
"Snake, carpet",Rutger
"Viper, egyptian",Rogerio
Huron,Romona
"Pelican, brown",Kerry
Bushpig,Cordie
Woolly-necked stork,Joletta
"Seal, northern elephant",Friederike
"Jackal, black-backed",Buck
"Fox, bat-eared",Marylinda
"Lynx, african",Vale
Red-billed tropic bird,Merridie
Crown of thorns starfish,Cass
"Crane, sandhill",Mauricio
"Toucan, red-billed",Reid
Snake (unidentified),Florri
Openbill stork,Marrilee
Herring gull,Janaya
Ibex,Marrilee
Scottish highland cow,Nana
Violet-eared waxbill,Pansie
Frilled lizard,Morry
Greater kudu,Andras
"Lemur, brown",Aurthur
"Kookaburra, laughing",Tally
Golden brush-tailed possum,Richie
Ring dove,Ceil
"Squirrel, grey-footed",Hugibert
Ant (unidentified),Madelon
Field flicker,Peggy
Arctic hare,Christian
"Anteater, australian spiny",Leonerd
Yellow baboon,Amalle
"Gull, herring",Georg
"Openbill, asian",Gayle
"Grenadier, common",Christiane
Capybara,Katina
Silver gull,Patrice
Common turkey,Sosanna
Malagasy ground boa,Lorinda
Large-eared bushbaby,Gilligan
Javan gold-spotted mongoose,Deloris
European stork,Alvin
"Elephant, african",Skip
Wattled crane,Melesa
"Devil, tasmanian",Eddie
Eastern cottontail rabbit,Pansie
"Phalarope, grey",Traci
Indian jackal,Elsworth
"Hawk, galapagos",Lazarus
